id,song,artist,album,album_id,time,playlist,lyrics,genre,path
106259,Группа крови,КИНО,Группа крови,10100,2025-01-12 19:19:14.546605,Лучшие песни русского рока,"Тёплое место, но улицы ждут
Отпечатков наших ног
Звёздная пыль на сапогах

Мягкое кресло, клетчатый плед
Не нажатый вовремя курок
Солнечный день в ослепительных снах

Группа крови на рукаве
Мой порядковый номер на рукаве
Пожелай мне удачи в бою
Пожелай мне

Не остаться в этой траве
Не остаться в этой траве
Пожелай мне удачи
Пожелай мне удачи

И есть чем платить, но я не хочу
Победы любой ценой
Я никому не хочу ставить ногу на грудь

Я хотел бы остаться с тобой
Просто остаться с тобой
Но высокая в небе звезда
Зовёт меня в путь

Группа крови на рукаве
Мой порядковый номер на рукаве
Пожелай мне удачи в бою
Пожелай мне

Не остаться в этой траве
Не остаться в этой траве
Пожелай мне удачи
Пожелай мне удачи",rock,
25949305,Дорога в облака,Браво,Дорога в облака,32851240,2025-01-12 19:19:14.962741,Лучшие песни русского рока,,rock,
34905249,Поворот,Машина времени,Лучшие песни 1979-1985,4741960,2025-01-12 19:19:15.703078,Лучшие песни русского рока,"Мы себе давали слово - не сходить с пути прямого
Но так уж суждено, хмм
И уж если откровенно - всех пугают перемены
Но - тут уж всё равно, хмм

Вот новый поворот, и мотор ревёт
Что он нам несёт - пропасть или взлет, омут или брод
И не разберёшь, пока не повернёшь

Вот новый поворот, и мотор ревёт
Что он нам несёт - пропасть или взлет, омут или брод
И не разберёшь, пока не повернёшь

И пугаться нет причины, если вы еще мужчины
Вы кое в чем сильны, хмм
Выезжайте за ворота, и не бойтесь поворота
Пусть добрым будет путь, хмм

Вот новый поворот, и мотор ревёт
Что он нам несёт - пропасть или взлет, омут или брод
И не разберёшь, пока не повернёшь

За поворот, новый поворот, и мотор ревёт
Что он нам несёт - пропасть или взлет, омут или брод
И не разберёшь, пока не повернёшь

За поворот, новый поворот, и мотор ревёт
Что он нам несёт - пропасть или взлет, омут или брод
И не разберёшь, пока не повернёшь
Пока не повернёшь",rock,
34084451,Моё сердце,Сплин,25-й кадр,4181557,2025-01-12 19:19:16.410526,Лучшие песни русского рока,"Мы не знали друг друга до этого лета
Мы болтались по свету в земле и воде
И совершенно случайно мы взяли билеты
Hа соседние кресла на большой высоте

И моё сердце остановилось
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло

И ровно тысячу лет мы просыпаемся вместе
Даже если уснули в разных местах
Мы идём ставить кофе под Элвиса Пресли
Кофе сбежал под Propellerheads, ах

И моё сердце остановилось
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло

И может быть ты не стала звездой в Голливуде
Hе выходишь на подиум в нижнем белье
У тебя не берут автографы люди
И поёшь ты чуть тише, чем Монсеррат Кабалье

Hу так и я, слава Богу, ни Рикки ни Мартин
Hе выдвигался на Оскар, французам не забивал
Моим именем не назван город на карте
Hо задёрнуты шторы и разложен диван

И моё сердце остановилось
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло

Я наяву вижу то, что многим даже не снилось
Hе являлось под кайфом, не стучалось в стекло
Моё сердце остановилось, отдышалось немного
И снова пошло

Моё сердце остановилось
Моё сердце замерло
Моё сердце остановилось
Моё сердце замерло

И моё сердце ¡Hasta la vista!
Моё сердце замерло
И моё сердце остановилось
Моё сердце замерло",rock,
732394,почему,Земфира,земфира,81430,2025-01-12 19:19:17.166311,Лучшие песни русского рока,"Ты стучала в дверь открытую
Я молчала как убитая
Обманули, на улице та же жара
Загорели руки в тёмное
Надоели звуки стрёмные
Прошатались по городу ночь до утра

Я задыхаюсь от нежности
От твоей-моей свежести
Я помню все твои трещинки
Пою твои-мои песенки
Ну почему?
Лай-ла-лай
Ну почему?
Лай-ла-лай

Много чаю, окно открытое
А я скучаю, я забытая
Просмотрела, как месяц линяет в луну
Постучали в дверь открытую
А я в печали, да, я разбитая
Не тупите, я не объявляла войну

Я задыхаюсь от нежности
От твоей-моей свежести
Я помню все твои трещинки
Пою твои-мои песенки
Ну почему?
Лай-ла-лай
Ну почему?
Лай-ла-лай
Я задыхаюсь от нежности
От твоей-моей свежести
Я помню все твои трещинки
Пою твои-мои песенки
Я задыхаюсь от нежности
От твоей-моей свежести
Я помню все твои трещинки
Пою твои-мои песенки
Ну почему?
Лай-ла-лай
Ну почему?
Лай-ла-лай
Ну почему?
Лай-ла-лай
Ну почему?
Лай-ла-лай",rock,
38585221,Три слова,Найк Борзов,Найк Борзов. Избранное,2417944,2025-01-12 19:19:17.931759,Лучшие песни русского рока,"Я знаю три слова
Три матерных слова
С сознанием этим я вышел из дома
Зашёл в пиццерию
Купил сигареты
И махом одним съел четыре конфеты

У-у, в руке банка Колы
В кармане пакетик с киви

Я знаю три слова
Три матерных слова
В кармане на счастье большая подкова
Куплю проститутку
CD модной группы
Бутылку портвейна и презервативы

У-у, в руке банка Колы
В кармане пакетик с киви
У-у, и я самый модный
И, видимо, самый красивый

Меня зовут Вова
Просто Вова
Учусь в ПТУ и хожу в дискотеку
Я знаю три слова
Три матерных слова
На этом словарный запас мой исчерпан

У-у, в руке банка Колы
В кармане пакетик с киви

У-у, и я самый модный
И, видимо, самый красивый",rock,
35386742,Девушка по городу,Вячеслав Бутусов,Избранное,211333,2025-01-12 19:19:18.715876,Лучшие песни русского рока,"Девушка по городу шагает босиком
Девушке дорогу уступает светофор
Сверху улыбается воздушный постовой
Девушка в ответ ему кивает головой

А где-нибудь за городом идёт весенний лёд
Девушке навстречу расступается народ
Девушка по Пушкинской, на Лиговский в обход
Следом по каналу проплывает пароход

А за окном мелькают дни
Они как взлётные огни
Одни заметны с высоты
Другие вовсе не видны

А на дворе цветёт весна
Она в кого-то влюблена
А этот кто-то за окном
Сидит и видит день за днём

Как девушка по городу шагает босиком
По скверам и по улицам порхает мотыльком
Девушка ныряет через арку напролёт
Солнце пригревает, сердце девушки поёт

Как за окном мелькают дни
Они как птицы далеки
Одни витают в облаках
Другие вовсе не видны

А на дворе цветёт весна
Она в кого-то влюблена
А этот кто-то за окном
Сидит и видит день за днём

Как за окном мелькают дни
Они как птицы далеки
Одни витают в облаках
Другие вовсе не видны

А на дворе цветёт весна
Она в кого-то влюблена
А этот кто-то за окном
Сидит и видит день за днём...

Как за окном мелькают дни
Они как птицы далеки
Одни витают в облаках
Другие вовсе не видны

А на дворе цветёт весна
Она в кого-то влюблена
А этот кто-то за окном
Сидит и видит день за днём...",rock,
25949307,Любите девушки,Браво,The Best Of,32960797,2025-01-12 19:19:19.109246,Лучшие песни русского рока,,rock,
10731250,Однажды мир прогнётся под нас,Машина времени,Отрываясь,1163851,2025-01-12 19:19:19.890742,Лучшие песни русского рока,"Вот море молодых колышут супербасы
Мне 300 лет, я выполз из тьмы
Они торчат под рейв и чем-то пудрят носы
Они не такие, как мы

И я не горю желаньем лезть в чужой монастырь
Я видел эту жизнь без прикрас

Не стоит прогибаться под изменчивый мир
Пусть лучше он прогнётся под нас
Однажды он прогнётся под нас

Один мой друг — он стоил двух, он ждать не привык
Был каждый день последним из дней
Он пробовал на прочность этот мир каждый миг
Мир оказался прочней

Ну что же, спи спокойно, позабытый кумир
Ты брал свои вершины не раз

Не стоит прогибаться под изменчивый мир
Пусть лучше он прогнётся под нас
Однажды он прогнётся под нас

Другой держался русла и теченье ловил
Подальше от крутых берегов
Он был как все и плыл, как все, и вот он приплыл
Ни дома, ни друзей, ни врагов

И жизнь его похожа на фруктовый кефир
Видал я и такое не раз

Не стоит прогибаться под изменчивый мир
Пусть лучше он прогнётся под нас
Однажды он прогнётся под нас

Пусть старая джинса давно затёрта до дыр
Пускай хрипит раздолбанный бас

Не стоит прогибаться под изменчивый мир
Пусть лучше он прогнётся под нас
Однажды он прогнётся под нас
Однажды он прогнётся под нас
Однажды он прогнётся под нас",rock,
28397936,Прасковья,Uma2rman,В городе N,10059,2025-01-12 19:19:20.588204,Лучшие песни русского рока,"Ночь уже не выследит — следы запутал снег
Слегка касается красавица, опять
Тебя оставил твой любимый человек
И снова ты должна любовь свою распять

И снова ты должна любовь свою-

Девушка Прасковья из Подмосковья
С грустью и тоскою снова одна
Девушка Прасковья из Подмосковья
За-за занавескою плачет у окна

Ночь, луны овал лица провалится с небес
В окно уставится, останется смотреть
Что в твоём сердце всё же нет свободных мест
И снова ты должна любовь свою стереть

И снова ты должна любовь свою-

Девушка Прасковья из Подмосковья
С грустью и тоскою снова одна
Девушка Прасковья из Подмосковья
За-за занавескою плачет у окна

Свет с утра запутается в шторах и цветах
Которые ты забываешь поливать
Тебя не радует весна и пенье птах
Ведь снова ты должна любовь свою порвать

Ведь снова ты должна любовь свою-

Девушка Прасковья из Подмосковья
С грустью и тоскою снова одна
Девушка Прасковья из Подмосковья
За-за занавескою плачет, и плачет, и плачет

Девушка Прасковья из Подмосковья
С грустью и тоскою снова одна
Девушка Прасковья из Подмосковья
За-за занавескою плачет у окна",rock,
